,NAME,ADDRESS,CITY,COUNTY,LON,LAT,geometry
58,白门寺,华侨新街47号,温州市,瓯海区,120.637344,27.89333,POINT (120.637344 27.89333)
60,大茶山,南大线,温州市,瓯海区,120.734673,27.926804,POINT (120.734673 27.926804)
73,王村仙潭景区,三坑段,丽水市,青田县,119.976585,28.314026,POINT (119.976585 28.314026)
109,凤音庵,,湖州市,安吉县,119.629677,30.772945,POINT (119.629677 30.772945)
112,湖州船模馆,红门馆前108号,湖州市,吴兴区,120.102608,30.862513,POINT (120.102608 30.862513)
125,石海索桥,,温州市,苍南县,120.294975,27.513561,POINT (120.294975 27.513561)
152,元家殿,,衢州市,江山市,118.561607,28.392714,POINT (118.561607 28.392714)
189,西山头,,台州市,玉环市,121.345757,28.09248,POINT (121.345757 28.09248)
193,斗鸡坳桥,,宁波市,镇海区,121.531273,30.047033,POINT (121.531273 30.047033)
199,连头山,403乡道,宁波市,宁海县,121.412262,29.244982,POINT (121.412262 29.244982)
201,天峰塔,,宁波市,象山县,121.956749,29.240835,POINT (121.956749 29.240835)
203,砚墨屿,,台州市,玉环市,121.412407,28.110615,POINT (121.412407 28.110615)
217,跨湖桥,湘湖路132号湘湖旅游度假区内,杭州市,萧山区,120.226204,30.14435,POINT (120.226204 30.14435)
227,灵山,,宁波市,镇海区,121.531494,29.986521,POINT (121.531494 29.986521)
231,黄泥岗,,湖州市,安吉县,119.64756,30.671446,POINT (119.64756 30.671446)
255,乌镇西栅景区,石佛南路18号乌镇内,嘉兴市,桐乡市,120.484665,30.749683,POINT (120.484665 30.749683)
261,逢源双桥,乌镇东栅景区内,嘉兴市,桐乡市,120.499443,30.739334,POINT (120.499443 30.739334)
263,致安桥,乌镇西栅景区内,嘉兴市,桐乡市,120.484154,30.748278,POINT (120.484154 30.748278)
289,庙湾,,绍兴市,越城区,120.616425,29.967356,POINT (120.616425 29.967356)
290,思鑫坊建筑群,学士路19附近,杭州市,上城区,120.165543,30.255669,POINT (120.165543 30.255669)
293,拱宸桥,桥弄街2附近,杭州市,拱墅区,120.139473,30.318195,POINT (120.139473 30.318195)
299,曲廊,瑶琳东琳村垂云通天河内,杭州市,桐庐县,119.532211,29.924179,POINT (119.532211 29.924179)
324,杭州孔庙,府学巷8,杭州市,上城区,120.161919,30.241774,POINT (120.161919 30.241774)
350,半廊,,台州市,玉环市,121.362587,28.097876,POINT (121.362587 28.097876)
