,NAME,ADDRESS,TELEPHONE,PROVINCE,CITY,COUNTY,CODE,LON,LAT,TYPECODE,BASETYPE,SUBTYPE,CATEGORY,geometry
293,余姚服务区,,,浙江省,宁波市,余姚市,330281,121.114449,30.008116,180300,道路附属设施,服务区,高速服务区,POINT (121.114449 30.008116)
331,云和服务区,,,浙江省,丽水市,云和县,331125,119.644234,28.147089,180300,道路附属设施,服务区,高速服务区,POINT (119.644234 28.147089)
2846,嘉善服务区,S12申嘉湖高速嘉善段,,浙江省,嘉兴市,嘉善县,330421,120.852203,30.888811,180300,道路附属设施,服务区,高速服务区,POINT (120.852203 30.888811)
3536,临海服务区,沪杭高速临海服务区,,浙江省,台州市,临海市,331082,120.986176,28.871151,180300,道路附属设施,服务区,高速服务区,POINT (120.986176 28.871151)
3537,临海服务区,,,浙江省,台州市,临海市,331082,120.987038,28.869993,180300,道路附属设施,服务区,高速服务区,POINT (120.987038 28.869993)
3538,台州服务区,,,浙江省,台州市,临海市,331082,121.226425,28.879955,180300,道路附属设施,服务区,高速服务区,POINT (121.226425 28.879955)
3539,台州服务区,大洋街道桥东村,,浙江省,台州市,临海市,331082,121.227516,28.877878,180300,道路附属设施,服务区,高速服务区,POINT (121.227516 28.877878)
3579,诸暨服务区,王家井镇十五房村转,,浙江省,绍兴市,诸暨市,330681,120.167778,29.659784,180300,道路附属设施,服务区,高速服务区,POINT (120.167778 29.659784)
3580,诸暨服务区,王家井镇十五房村,,浙江省,绍兴市,诸暨市,330681,120.169647,29.662182,180300,道路附属设施,服务区,高速服务区,POINT (120.169647 29.662182)
3581,诸暨服务区,王家井镇十五房村转,,浙江省,绍兴市,诸暨市,330681,120.287498,29.682573,180300,道路附属设施,服务区,高速服务区,POINT (120.287498 29.682573)
3582,诸暨服务区,,,浙江省,绍兴市,诸暨市,330681,120.285866,29.683264,180300,道路附属设施,服务区,高速服务区,POINT (120.285866 29.683264)
3609,鉴湖服务区,,,浙江省,绍兴市,越城区,330602,120.555176,29.916336,180300,道路附属设施,服务区,高速服务区,POINT (120.555176 29.916336)
3610,鉴湖服务区,,,浙江省,绍兴市,越城区,330602,120.55188,29.916983,180300,道路附属设施,服务区,高速服务区,POINT (120.55188 29.916983)
3615,绍兴服务区,马山镇宋家溇村,,浙江省,绍兴市,越城区,330602,120.642853,30.098864,180300,道路附属设施,服务区,高速服务区,POINT (120.642853 30.098864)
3617,绍兴服务区,,,浙江省,绍兴市,越城区,330602,120.642708,30.099707,180300,道路附属设施,服务区,高速服务区,POINT (120.642708 30.099707)
3631,滨海新城北服务区,,,浙江省,绍兴市,上虞区,330604,120.775383,30.200678,180300,道路附属设施,服务区,高速服务区,POINT (120.775383 30.200678)
3632,滨海新城北服务区,,,浙江省,绍兴市,上虞区,330604,120.773155,30.200926,180300,道路附属设施,服务区,高速服务区,POINT (120.773155 30.200926)
3652,嵊州服务区,,,浙江省,绍兴市,嵊州市,330683,120.841003,29.787027,180300,道路附属设施,服务区,高速服务区,POINT (120.841003 29.787027)
3653,嵊州服务区,,,浙江省,绍兴市,嵊州市,330683,120.97393,29.560041,180300,道路附属设施,服务区,高速服务区,POINT (120.97393 29.560041)
3654,嵊州服务区,,,浙江省,绍兴市,嵊州市,330683,120.973228,29.558348,180300,道路附属设施,服务区,高速服务区,POINT (120.973228 29.558348)
3663,新昌服务区,城关镇挂帘山村,,浙江省,绍兴市,新昌县,330624,120.902863,29.478987,180300,道路附属设施,服务区,高速服务区,POINT (120.902863 29.478987)
3664,新昌服务区,,,浙江省,绍兴市,新昌县,330624,120.903206,29.479795,180300,道路附属设施,服务区,高速服务区,POINT (120.903206 29.479795)
3819,金塘服务区,,,浙江省,舟山市,定海区,330902,121.905823,30.05168,180300,道路附属设施,服务区,高速服务区,POINT (121.905823 30.05168)
3820,金塘服务区,甬舟高速公路入口,,浙江省,舟山市,定海区,330902,121.90435,30.053251,180300,道路附属设施,服务区,高速服务区,POINT (121.90435 30.053251)
4035,清江服务区,清江服务区附近,,浙江省,温州市,乐清市,330382,121.120537,28.291725,180300,道路附属设施,服务区,高速服务区,POINT (121.120537 28.291725)
4036,清江服务区,清江镇田垅村,,浙江省,温州市,乐清市,330382,121.121323,28.291142,180300,道路附属设施,服务区,高速服务区,POINT (121.121323 28.291142)
4323,海宁服务区,长安镇兴城村,,浙江省,嘉兴市,海宁市,330481,120.618919,30.414167,180300,道路附属设施,服务区,高速服务区,POINT (120.618919 30.414167)
4324,长安服务区,长安镇兴城村,,浙江省,嘉兴市,海宁市,330481,120.465485,30.484882,180300,道路附属设施,服务区,高速服务区,POINT (120.465485 30.484882)
4325,海宁服务区,,,浙江省,嘉兴市,海宁市,330481,120.620216,30.414827,180300,道路附属设施,服务区,高速服务区,POINT (120.620216 30.414827)
4327,嘉绍大桥服务区,硖尖公路,,浙江省,嘉兴市,海宁市,330481,120.792358,30.354124,180300,道路附属设施,服务区,高速服务区,POINT (120.792358 30.354124)
4467,龙泉服务区,兰巨乡蜜蜂岭村,,浙江省,丽水市,龙泉市,331181,119.097481,28.023123,180300,道路附属设施,服务区,高速服务区,POINT (119.097481 28.023123)
4505,青田服务区,船寮镇水井头上陈村,,浙江省,丽水市,青田县,331121,120.177795,28.266966,180300,道路附属设施,服务区,高速服务区,POINT (120.177795 28.266966)
4692,遂昌停车区,,,浙江省,丽水市,遂昌县,331123,119.29364,28.611919,180300,道路附属设施,服务区,高速服务区,POINT (119.29364 28.611919)
4694,莲都停车区,水阁街道大源宅塘村丽龙高速,,浙江省,丽水市,莲都区,331102,119.839127,28.356125,180300,道路附属设施,服务区,高速服务区,POINT (119.839127 28.356125)
